name, type, manufacturer, barcode, price
Iphone X,Office Supplies,Apple,1801396154,636.6844773292542
Ipad Pro,Personal Gadget,Apple,1860582492,698.382318019867
Macbook Pro,Home Supplies,Apple,1687550037,857.1323156356812
XPS 13,Home Appliances,Apple,1402358064,190.11914730072021
Noise Cancelling Series 2,Office Supplies,Apple,1701207410,53.81566286087036
Inspiron,Home Supplies,Apple,1232241454,494.94218826293945
Macbook Air,Office Supplies,Apple,1847161502,769.9553966522217
Chips,Food,Apple,1621442620,781.3307642936707
Milk,Home Appliances,Apple,1978593593,655.6121110916138
Yoghurt,Office Supplies,Apple,1026040056,936.1758828163147
Cheese,Personal Gadget,Apple,1798592402,179.28481101989746
Chicken Breast,Office Supplies,Apple,1736023687,115.11635780334473
Frozen Pizza,Home Appliances,Apple,1518381911,835.0710272789001
Bagels,Home Appliances,Apple,1745588444,680.6280612945557
Bread,Personal Gadget,Apple,1992329759,179.27515506744385
Cookies,Office Supplies,Apple,1837657732,840.1644229888916
Sparkling Water,Home Supplies,Apple,1119539051,473.33627939224243
Energy Drink,Personal Gadget,Apple,1207071331,842.9315686225891
Soda,Office Supplies,Apple,1630016410,556.0631155967712
Root Beer,Home Appliances,Apple,1572822344,500.82093477249146
Juice,Home Supplies,Apple,1529784524,564.4931197166443
Toilet Paper,Home Appliances,Apple,1471460662,9.002447128295898
Tooth Brush,Home Supplies,Apple,1199221370,719.4185853004456
Mouthwash,Food,Apple,1993212731,325.20920038223267
Toothpaste,Personal Gadget,Apple,1673335647,992.0783042907715
Soap,Personal Gadget,Apple,1472034431,572.4518895149231
Shampoo,Home Supplies,Apple,1998231705,679.1318655014038
Shower Gel,Home Appliances,Apple,1813883836,234.54570770263672
Dish Soap,Food,Apple,1786902123,793.394923210144
Towels,Office Supplies,Apple,1127758975,72.30085134506226
Cutlery,Personal Gadget,Apple,1487566750,490.60577154159546
Sanitizer,Personal Gadget,Apple,1885908852,283.52129459381104
Laundry Detergent,Home Appliances,Apple,1242525610,213.54389190673828
Fabric Softener,Food,Apple,1898131978,123.21251630783081
Dishwasher,Food,Apple,1134016334,763.0668878555298
Refrigerator,Office Supplies,Apple,1245889832,980.8759093284607
TV,Personal Gadget,Apple,1680585639,473.1513261795044
Sound System,Home Appliances,Apple,1931372029,346.8441367149353
Microwave,Food,Apple,1523356790,149.00577068328857
Oven,Home Supplies,Apple,1191569323,584.7998857498169
Electric Kettle,Food,Apple,1702269918,452.09336280822754
Coffee Maker,Personal Gadget,Apple,1185379878,436.5498423576355
Heater,Food,Apple,1909499796,214.90055322647095
Humidifier,Office Supplies,Apple,1450956343,519.5571780204773
Gaming Console,Food,Apple,1778033805,426.0903596878052
Pen,Food,Apple,1159685425,117.55025386810303
Pencil,Office Supplies,Apple,1040680731,730.9752702713013
Notepad,Food,Apple,1661794354,517.7285075187683
Sticky Notes,Office Supplies,Apple,1217050033,583.8610529899597
Calendar,Home Supplies,Apple,1166633516,300.8175492286682
Planner,Food,Apple,1057394750,211.6868495941162
Highlighter,Home Supplies,Apple,1058862448,956.7352533340454
Sharpener,Office Supplies,Apple,1012376776,299.59940910339355
Notebook,Home Appliances,Apple,1391351098,171.3060736656189
Journal,Office Supplies,Apple,1492140576,488.8332486152649
Diary,Home Supplies,Apple,1478515313,128.8086175918579
Printer,Office Supplies,Apple,1127547829,38.856327533721924
Trashcan,Office Supplies,Apple,1342576791,299.79389905929565
Chair,Personal Gadget,Apple,1917633227,205.61784505844116
Tape,Home Appliances,Apple,1533031604,860.3290319442749
Eraser,Home Appliances,Apple,1322516467,335.47818660736084
Iphone X,Home Supplies,Dell,1680223190,122.48039245605469
